,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Actinobacteria,5,14,0,0,2,0,16,84,1,0,0,5,10,35,1,0,0,1,3,14,0,0,0,2,1,120,0,0,0,1
Bacteroidetes,204960,68919,129325,162953,197338,163094,250616,92364,169378,186116,176597,159743,253826,73575,167597,178515,203203,164358,248637,78408,173687,176721,191969,145155,207406,71622,165155,170622,210429,158081
Chloroflexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria/Chloroplast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deinococcus-Thermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euryarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,37435,32113,30291,9588,13240,21757,51167,28866,29353,10808,11994,23897,47200,33212,24423,9918,12114,17711,46588,22458,20104,14937,14643,15235,38421,35712,26478,10653,15894,18319
Fusobacteria,2,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentisphaerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,21572,8488,14260,30167,18880,12913,29583,5330,22423,29670,20138,12979,28792,6227,17283,26932,22071,12735,23432,5814,21519,37201,18764,14498,25517,6292,21276,32287,17345,15580
Verrucomicrobia,75042,123226,60216,76000,65882,32974,105890,74674,60284,68277,69007,29861,80287,90379,34022,70355,44042,35211,84251,93781,54545,75128,62908,36561,84132,84308,59170,73382,59516,29722
unknown,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,3
